benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
arbiter;map_resub_l6;7;mig_mapper;6866;60;0.652336;11839;87
arbiter;map_resub_l6;8;mig_resub;6866;60;0.14710759;11839;87
arbiter;map_resub_l6;9;mig_mapper;6866;60;0.6535759;11839;87
arbiter;map_resub_l6;10;mig_resub;6866;60;0.15381943;11839;87
arbiter;map_resub_l6;11;mig_mapper;6866;60;0.6579809;11839;87
arbiter;map_resub_l6;12;mig_resub;6866;60;0.14659742;11839;87
arbiter;map_resub_l6;13;end;6866;60;0.0;11839;87
multiplier;map_resub_l6;0;root;27062;274;0;27062;274
multiplier;map_resub_l6;1;mig_mapper;19354;143;2.580061;27062;274
multiplier;map_resub_l6;2;mig_resub;19166;150;0.42349744;27062;274
multiplier;map_resub_l6;3;mig_mapper;19105;149;0.716987;27062;274
multiplier;map_resub_l6;4;mig_resub;19084;149;0.41464934;27062;274
multiplier;map_resub_l6;5;mig_mapper;19087;149;0.66995806;27062;274
multiplier;map_resub_l6;6;mig_resub;19087;149;0.4132133;27062;274
multiplier;map_resub_l6;7;mig_mapper;19087;149;0.6161371;27062;274
multiplier;map_resub_l6;8;mig_resub;19086;149;0.41166362;27062;274
multiplier;map_resub_l6;9;mig_mapper;19086;149;0.6788895;27062;274
multiplier;map_resub_l6;10;mig_resub;19086;149;0.4149772;27062;274
multiplier;map_resub_l6;11;mig_mapper;19086;149;0.6562653;27062;274
multiplier;map_resub_l6;12;mig_resub;19086;149;0.4128463;27062;274
multiplier;map_resub_l6;13;end;19086;149;0.0;27062;274
sin;map_resub_l6;0;root;5416;225;0;5416;225
sin;map_resub_l6;1;mig_mapper;4248;127;0.5283088;5416;225
sin;map_resub_l6;2;mig_resub;4186;129;1.4321334;5416;225
sin;map_resub_l6;3;mig_mapper;4147;131;0.19997671;5416;225
sin;map_resub_l6;4;mig_resub;4137;131;1.2552286;5416;225
sin;map_resub_l6;5;mig_mapper;4141;128;0.18900691;5416;225
sin;map_resub_l6;6;mig_resub;4137;128;1.3365883;5416;225
sin;map_resub_l6;7;mig_mapper;4140;128;0.17480017;5416;225
sin;map_resub_l6;8;mig_resub;4133;128;1.6258435;5416;225
sin;map_resub_l6;9;mig_mapper;4137;128;0.17950068;5416;225
sin;map_resub_l6;10;mig_resub;4133;128;1.5965614;5416;225
sin;map_resub_l6;11;mig_mapper;4137;128;0.17973116;5416;225
sin;map_resub_l6;12;mig_resub;4133;128;1.6097231;5416;225
sin;map_resub_l6;13;end;4133;128;0.0;5416;225
log2;map_resub_l6;0;root;32060;444;0;32060;444
log2;map_resub_l6;1;mig_mapper;24295;206;3.365794;32060;444
log2;map_resub_l6;2;mig_resub;24125;210;0.4218035;32060;444
log2;map_resub_l6;3;mig_mapper;24168;209;1.1718862;32060;444
log2;map_resub_l6;4;mig_resub;24115;209;0.3879356;32060;444
log2;map_resub_l6;5;mig_mapper;24132;206;1.1582422;32060;444
log2;map_resub_l6;6;mig_resub;24114;206;0.38112888;32060;444
log2;map_resub_l6;7;mig_mapper;24128;204;1.1421202;32060;444
log2;map_resub_l6;8;mig_resub;24107;204;0.39570186;32060;444
log2;map_resub_l6;9;mig_mapper;24120;205;1.1652409;32060;444
log2;map_resub_l6;10;mig_resub;24107;205;0.39448896;32060;444
log2;map_resub_l6;11;mig_mapper;24119;205;1.1107126;32060;444
log2;map_resub_l6;12;mig_resub;24106;205;0.394967;32060;444
log2;map_resub_l6;13;end;24106;205;0.0;32060;444
div;map_resub_l6;0;root;57247;4372;0;57247;4372
div;map_resub_l6;1;mig_mapper;53113;2425;3.8965378;57247;4372
div;map_resub_l6;2;mig_resub;43766;3251;1.509342;57247;4372
div;map_resub_l6;3;mig_mapper;40390;3108;2.2134676;57247;4372
div;map_resub_l6;4;mig_resub;40158;3090;0.53256863;57247;4372
div;map_resub_l6;5;mig_mapper;40027;2518;1.470174;57247;4372
div;map_resub_l6;6;mig_resub;39464;2753;0.54028517;57247;4372
div;map_resub_l6;7;mig_mapper;39515;2671;1.370125;57247;4372
div;map_resub_l6;8;mig_resub;39192;2735;0.53175306;57247;4372
div;map_resub_l6;9;mig_mapper;39333;2673;1.31471;57247;4372
div;map_resub_l6;10;mig_resub;38935;2743;0.51093906;57247;4372
div;map_resub_l6;11;mig_mapper;39082;2676;1.1605626;57247;4372
div;map_resub_l6;12;mig_resub;38744;2752;0.5317449;57247;4372
div;map_resub_l6;13;end;38744;2752;0.0;57247;4372
cavlc;map_resub_l6;0;root;693;16;0;693;16
cavlc;map_resub_l6;1;mig_mapper;649;14;0.04084707;693;16
cavlc;map_resub_l6;2;mig_resub;557;14;2.87729;693;16
cavlc;map_resub_l6;3;mig_mapper;550;13;0.018962191;693;16
cavlc;map_resub_l6;4;mig_resub;540;13;3.9709594;693;16
cavlc;map_resub_l6;5;mig_mapper;540;13;0.017446935;693;16
cavlc;map_resub_l6;6;mig_resub;535;13;3.693482;693;16
cavlc;map_resub_l6;7;mig_mapper;535;13;0.016410913;693;16
cavlc;map_resub_l6;8;mig_resub;531;13;3.6360846;693;16
cavlc;map_resub_l6;9;mig_mapper;530;13;0.016839642;693;16
cavlc;map_resub_l6;10;mig_resub;527;13;3.6259592;693;16
cavlc;map_resub_l6;11;mig_mapper;528;13;0.016119426;693;16
cavlc;map_resub_l6;12;mig_resub;527;13;3.5463994;693;16
cavlc;map_resub_l6;13;end;527;13;0.0;693;16
mem_ctrl;map_resub_l6;0;root;46836;114;0;46836;114
mem_ctrl;map_resub_l6;1;mig_mapper;42071;98;3.3686683;46836;114
mem_ctrl;map_resub_l6;2;mig_resub;40066;101;2.2204657;46836;114
mem_ctrl;map_resub_l6;3;mig_mapper;39852;99;1.9014168;46836;114
mem_ctrl;map_resub_l6;4;mig_resub;39311;99;1.2450112;46836;114
mem_ctrl;map_resub_l6;5;mig_mapper;39173;96;1.8347244;46836;114
mem_ctrl;map_resub_l6;6;mig_resub;38940;96;1.0236293;46836;114
mem_ctrl;map_resub_l6;7;mig_mapper;38923;97;1.7516323;46836;114
mem_ctrl;map_resub_l6;8;mig_resub;38799;97;1.0718668;46836;114
mem_ctrl;map_resub_l6;9;mig_mapper;38782;96;1.7403946;46836;114
mem_ctrl;map_resub_l6;10;mig_resub;38739;96;1.0583676;46836;114
mem_ctrl;map_resub_l6;11;mig_mapper;38745;97;1.6539257;46836;114
mem_ctrl;map_resub_l6;12;mig_resub;38705;97;1.0990996;46836;114
mem_ctrl;map_resub_l6;13;end;38705;97;0.0;46836;114
hyp;map_resub_l6;0;root;214335;24801;0;214335;24801
hyp;map_resub_l6;1;mig_mapper;138143;8956;20.25151;214335;24801
hyp;map_resub_l6;2;mig_resub;126606;8956;1.5735447;214335;24801
hyp;map_resub_l6;3;mig_mapper;126621;8933;3.0616682;214335;24801
hyp;map_resub_l6;4;mig_resub;123789;8933;1.0528085;214335;24801
hyp;map_resub_l6;5;mig_mapper;123929;8911;2.9567788;214335;24801
hyp;map_resub_l6;6;mig_resub;123756;8911;1.0670875;214335;24801
hyp;map_resub_l6;7;mig_mapper;123860;8911;2.9083982;214335;24801
hyp;map_resub_l6;8;mig_resub;123752;8911;1.0962838;214335;24801
hyp;map_resub_l6;9;mig_mapper;123852;8911;2.9426646;214335;24801
hyp;map_resub_l6;10;mig_resub;123750;8911;1.1199554;214335;24801
hyp;map_resub_l6;11;mig_mapper;123858;8911;2.9733555;214335;24801
hyp;map_resub_l6;12;mig_resub;123750;8911;1.0906017;214335;24801
hyp;map_resub_l6;13;end;123750;8911;0.0;214335;24801
