benchmark;flow;size;size_mig;depth;depth_mig;runtime
c1355;map_resub_l3;6;mig_resub;298;16;0.003467053;502;25
c1355;map_resub_l3;7;end;298;16;0.0;502;25
c3540;map_resub_l3;0;root;1024;41;0;1024;41
c3540;map_resub_l3;1;mig_mapper;853;30;0.12876254;1024;41
c3540;map_resub_l3;2;mig_resub;801;29;0.06874541;1024;41
c3540;map_resub_l3;3;mig_mapper;796;29;0.073599644;1024;41
c3540;map_resub_l3;4;mig_resub;783;28;0.046718925;1024;41
c3540;map_resub_l3;5;mig_mapper;778;28;0.05454379;1024;41
c3540;map_resub_l3;6;mig_resub;772;28;0.048536602;1024;41
c3540;map_resub_l3;7;end;772;28;0.0;1024;41
bar;map_resub_l3;0;root;3336;12;0;3336;12
bar;map_resub_l3;1;mig_mapper;2693;13;0.3096514;3336;12
bar;map_resub_l3;2;mig_resub;2598;14;0.10147558;3336;12
bar;map_resub_l3;3;mig_mapper;2592;13;0.14631896;3336;12
bar;map_resub_l3;4;mig_resub;2592;13;0.107249975;3336;12
bar;map_resub_l3;5;mig_mapper;2588;13;0.15123184;3336;12
bar;map_resub_l3;6;mig_resub;2588;13;0.09526557;3336;12
bar;map_resub_l3;7;end;2588;13;0.0;3336;12
c7552;map_resub_l3;0;root;1469;26;0;1469;26
c7552;map_resub_l3;1;mig_mapper;1186;22;0.3269628;1469;26
c7552;map_resub_l3;2;mig_resub;1158;23;0.023719626;1469;26
c7552;map_resub_l3;3;mig_mapper;1153;21;0.043261237;1469;26
c7552;map_resub_l3;4;mig_resub;1132;21;0.009756955;1469;26
c7552;map_resub_l3;5;mig_mapper;1126;21;0.079921365;1469;26
c7552;map_resub_l3;6;mig_resub;1120;22;0.009242766;1469;26
c7552;map_resub_l3;7;end;1120;22;0.0;1469;26
c6288;map_resub_l3;0;root;2337;120;0;2337;120
c6288;map_resub_l3;1;mig_mapper;979;46;0.5756993;2337;120
c6288;map_resub_l3;2;mig_resub;976;46;0.003531514;2337;120
c6288;map_resub_l3;3;mig_mapper;976;46;0.03431899;2337;120
c6288;map_resub_l3;4;mig_resub;976;46;0.016470803;2337;120
c6288;map_resub_l3;5;mig_mapper;976;46;0.028521953;2337;120
c6288;map_resub_l3;6;mig_resub;976;46;0.016484207;2337;120
c6288;map_resub_l3;7;end;976;46;0.0;2337;120
max;map_resub_l3;0;root;2865;287;0;2865;287
max;map_resub_l3;1;mig_mapper;2413;158;0.5376542;2865;287
max;map_resub_l3;2;mig_resub;2412;158;0.04659982;2865;287
