benchmark;flow;op_num;op_type;size;depth;runtime
voter;map_l_3;1;0;13758;70;0.0
voter;map_l_3;2;3;5802;49;0.0
voter;map_l_3;3;1;5802;49;0.0
square;map;map;map;resub;cr-z;map;map;0;0;18484;250;0.0
square;map;map;map;resub;cr-z;map;map;1;101;12176;126;23.80222
square;map;map;map;resub;cr-z;map;map;2;101;11966;126;5.915197
square;map;map;map;resub;cr-z;map;map;3;101;11924;126;5.5343056
square;map;map;map;resub;cr-z;map;map;4;105;9573;126;7.4618363
square;map;map;map;resub;cr-z;map;map;5;104;9573;126;3.878002
square;map;map;map;resub;cr-z;map;map;6;101;9523;126;1.8313457
square;map;map;map;resub;cr-z;map;map;7;101;9434;128;1.8362013
square;map;map;map;resub;cr-z;map;map;8;1;9434;128;0.0
mem_ctrl;map_l_3;0;0;46836;114;0.0
mem_ctrl;map_l_3;1;0;46836;114;0.0
mem_ctrl;map_l_3;2;3;41267;94;0.0
mem_ctrl;map_l_3;3;1;41267;94;0.0
priority;map_l_3;0;0;978;250;0.0
priority;map_l_3;1;0;978;250;0.0
priority;map_l_3;2;3;808;117;0.0
priority;map_l_3;3;1;808;117;0.0
router;map_l_3;0;0;257;54;0.0
router;map_l_3;1;0;257;54;0.0
router;map_l_3;2;3;207;43;0.0
router;map_l_3;3;1;207;43;0.0
arbiter;map;map;map;resub;cr-z;map;map;0;0;11839;87;0.0
arbiter;map;map;map;resub;cr-z;map;map;1;101;6996;59;16.536709
arbiter;map;map;map;resub;cr-z;map;map;2;101;6999;60;6.7967615
arbiter;map;map;map;resub;cr-z;map;map;3;101;6996;59;6.707574
arbiter;map;map;map;resub;cr-z;map;map;4;105;6868;60;6.753545
arbiter;map;map;map;resub;cr-z;map;map;5;104;6868;60;10.642078
arbiter;map;map;map;resub;cr-z;map;map;6;101;6866;61;6.6835055
arbiter;map;map;map;resub;cr-z;map;map;7;101;6866;60;6.2833943
arbiter;map;map;map;resub;cr-z;map;map;8;1;6866;60;0.0
voter;map_l_3;0;0;13758;70;0.0
voter;map_l_3;1;0;13758;70;0.0
voter;map_l_3;2;3;5802;49;0.0
voter;map_l_3;3;1;5802;49;0.0
mem_ctrl;map_l_5;0;0;46836;114;0.0
mem_ctrl;map_l_5;1;0;46836;114;0.0
mem_ctrl;map_l_5;2;3;41267;94;0.0
mem_ctrl;map_l_5;3;1;41267;94;0.0
priority;map_l_5;0;0;978;250;0.0
priority;map_l_5;1;0;978;250;0.0
priority;map_l_5;2;3;808;117;0.0
priority;map_l_5;3;1;808;117;0.0
router;map_l_5;0;0;257;54;0.0
router;map_l_5;1;0;257;54;0.0
router;map_l_5;2;3;207;43;0.0
router;map_l_5;3;1;207;43;0.0
voter;map_l_5;0;0;13758;70;0.0
voter;map_l_5;1;0;13758;70;0.0
voter;map_l_5;2;3;5802;49;0.0
voter;map_l_5;3;1;5802;49;0.0
cavlc;map;map;map;resub;cr-z;map;map;0;0;693;16;0.0
cavlc;map;map;map;resub;cr-z;map;map;1;101;649;14;0.3565914
cavlc;map;map;map;resub;cr-z;map;map;2;101;630;12;0.23436177
cavlc;map;map;map;resub;cr-z;map;map;3;101;627;13;0.35078257
cavlc;map;map;map;resub;cr-z;map;map;4;105;553;15;233.73854
cavlc;map;map;map;resub;cr-z;map;map;5;104;553;15;0.24745724
cavlc;map;map;map;resub;cr-z;map;map;6;101;553;14;0.14970998
cavlc;map;map;map;resub;cr-z;map;map;7;101;553;14;0.14823626
cavlc;map;map;map;resub;cr-z;map;map;8;1;553;14;0.0
ctrl;map;map;map;resub;cr-z;map;map;0;0;174;10;0.0
ctrl;map;map;map;resub;cr-z;map;map;1;101;115;5;0.06597235
ctrl;map;map;map;resub;cr-z;map;map;2;101;114;5;0.029131083
ctrl;map;map;map;resub;cr-z;map;map;3;101;114;5;0.026800662
ctrl;map;map;map;resub;cr-z;map;map;4;105;81;8;4.729605
ctrl;map;map;map;resub;cr-z;map;map;5;104;81;8;0.024021221
ctrl;map;map;map;resub;cr-z;map;map;6;101;79;8;0.018189298
ctrl;map;map;map;resub;cr-z;map;map;7;101;79;8;0.01758587
ctrl;map;map;map;resub;cr-z;map;map;8;1;79;8;0.0
dec;map;map;map;resub;cr-z;map;map;0;0;304;3;0.0
dec;map;map;map;resub;cr-z;map;map;1;101;304;3;0.084586464
dec;map;map;map;resub;cr-z;map;map;2;101;304;3;0.08463023
dec;map;map;map;resub;cr-z;map;map;3;101;304;3;0.08474289
dec;map;map;map;resub;cr-z;map;map;4;105;304;3;0.07555186
dec;map;map;map;resub;cr-z;map;map;5;104;304;3;0.018639272
dec;map;map;map;resub;cr-z;map;map;6;101;304;3;0.08457976
dec;map;map;map;resub;cr-z;map;map;7;101;304;3;0.0847581
dec;map;map;map;resub;cr-z;map;map;8;1;304;3;0.0
i2c;map;map;map;resub;cr-z;map;map;0;0;1342;20;0.0
i2c;map;map;map;resub;cr-z;map;map;1;101;1229;13;0.47789404
i2c;map;map;map;resub;cr-z;map;map;2;101;1221;13;0.3459844
i2c;map;map;map;resub;cr-z;map;map;3;101;1218;12;0.3318277
i2c;map;map;map;resub;cr-z;map;map;4;105;1138;12;2.4857829
i2c;map;map;map;resub;cr-z;map;map;5;104;1138;12;0.6347987
i2c;map;map;map;resub;cr-z;map;map;6;101;1135;12;0.3044299
i2c;map;map;map;resub;cr-z;map;map;7;101;1131;12;0.28558165
i2c;map;map;map;resub;cr-z;map;map;8;1;1131;12;0.0
int2float;map;map;map;resub;cr-z;map;map;0;0;260;16;0.0
int2float;map;map;map;resub;cr-z;map;map;1;101;235;11;0.10234998
int2float;map;map;map;resub;cr-z;map;map;2;101;224;10;0.068288684
int2float;map;map;map;resub;cr-z;map;map;3;101;223;10;0.06028604
int2float;map;map;map;resub;cr-z;map;map;4;105;200;10;2.3861222
int2float;map;map;map;resub;cr-z;map;map;5;104;200;10;0.094704874
int2float;map;map;map;resub;cr-z;map;map;6;101;199;10;0.047513485
int2float;map;map;map;resub;cr-z;map;map;7;101;198;10;0.04859053
int2float;map;map;map;resub;cr-z;map;map;8;1;198;10;0.0
mem_ctrl;map;map;map;resub;cr-z;map;map;0;0;46836;114;0.0
mem_ctrl;map;map;map;resub;cr-z;map;map;1;101;42071;98;26.277328
mem_ctrl;map;map;map;resub;cr-z;map;map;2;101;41597;97;15.790038
mem_ctrl;map;map;map;resub;cr-z;map;map;3;101;41371;95;15.604337
mem_ctrl;map;map;map;resub;cr-z;map;map;4;105;39560;98;86.781715
mem_ctrl;map;map;map;resub;cr-z;map;map;5;104;39560;98;21.991257
mem_ctrl;map;map;map;resub;cr-z;map;map;6;101;39522;97;13.6494255
mem_ctrl;map;map;map;resub;cr-z;map;map;7;101;39464;96;14.005235
mem_ctrl;map;map;map;resub;cr-z;map;map;8;1;39464;96;0.0
priority;map;map;map;resub;cr-z;map;map;0;0;978;250;0.0
priority;map;map;map;resub;cr-z;map;map;1;101;908;124;0.4671666
priority;map;map;map;resub;cr-z;map;map;2;101;850;123;0.26841766
priority;map;map;map;resub;cr-z;map;map;3;101;833;122;0.23802084
priority;map;map;map;resub;cr-z;map;map;4;105;623;121;0.11162149
priority;map;map;map;resub;cr-z;map;map;5;104;623;121;0.41139287
priority;map;map;map;resub;cr-z;map;map;6;101;619;120;0.19348952
priority;map;map;map;resub;cr-z;map;map;7;101;599;117;0.2637957
priority;map;map;map;resub;cr-z;map;map;8;1;599;117;0.0
router;map;map;map;resub;cr-z;map;map;0;0;257;54;0.0
router;map;map;map;resub;cr-z;map;map;1;101;218;47;0.17154713
router;map;map;map;resub;cr-z;map;map;2;101;208;45;0.07417757
router;map;map;map;resub;cr-z;map;map;3;101;207;43;0.061564114
router;map;map;map;resub;cr-z;map;map;4;105;197;43;0.07433072
router;map;map;map;resub;cr-z;map;map;5;104;197;43;0.11189446
router;map;map;map;resub;cr-z;map;map;6;101;192;42;0.060107365
router;map;map;map;resub;cr-z;map;map;7;101;191;42;0.060721025
router;map;map;map;resub;cr-z;map;map;8;1;191;42;0.0
voter;map;map;map;resub;cr-z;map;map;0;0;13758;70;0.0
voter;map;map;map;resub;cr-z;map;map;1;101;7219;54;9.219665
voter;map;map;map;resub;cr-z;map;map;2;101;6573;54;2.2016354
voter;map;map;map;resub;cr-z;map;map;3;101;6104;52;1.8393768
voter;map;map;map;resub;cr-z;map;map;4;105;5325;46;3.2713218
voter;map;map;map;resub;cr-z;map;map;5;104;5325;46;2.1639984
voter;map;map;map;resub;cr-z;map;map;6;101;5042;45;1.3660725
voter;map;map;map;resub;cr-z;map;map;7;101;5005;43;1.5845877
voter;map;map;map;resub;cr-z;map;map;8;1;5005;43;0.0
div;ref_main5;0;0;57247;4372;0.0
div;ref_main5;1;0;57247;4372;0.0
div;ref_main5;2;3;35225;2201;0.0
div;ref_main5;3;1;35225;2201;0.0
adder;map_l_3;0;0;1020;255;0.0
adder;map_l_3;1;0;1020;255;0.0
adder;map_l_3;2;3;384;129;0.0
adder;map_l_3;3;1;384;129;0.0
adder;map_l_3;0;0;1020;255;0.0
adder;map_l_3;1;0;1020;255;0.0
adder;map_l_3;2;3;384;129;0.0
adder;map_l_3;3;1;384;129;0.0
adder;map_l_1;0;0;1020;255;0.0
adder;map_l_1;1;0;1020;255;0.0
adder;map_l_1;2;3;384;129;0.0
adder;map_l_1;3;1;384;129;0.0
adder;map_l_5;0;0;1020;255;0.0
adder;map_l_5;1;0;1020;255;0.0
adder;map_l_5;2;3;384;129;0.0
adder;map_l_5;3;1;384;129;0.0
adder;map|map|map|resub|cr-z|map|map;0;0;1020;255;0.0
adder;map|map|map|resub|cr-z|map|map;1;101;384;129;0.4970379
adder;map|map|map|resub|cr-z|map|map;2;101;384;129;0.047827575
adder;map|map|map|resub|cr-z|map|map;3;101;384;129;0.05150185
adder;map|map|map|resub|cr-z|map|map;4;105;384;129;0.03386187
adder;map|map|map|resub|cr-z|map|map;5;104;384;129;0.090539455
adder;map|map|map|resub|cr-z|map|map;6;101;384;129;0.04719887
adder;map|map|map|resub|cr-z|map|map;7;101;384;129;0.04717226
